Model,matched_comments,benchmark_comments,model_comments,unmatched_comments,match_coverage,min_similarity,mean_similarity,exact_set_matches,exact_set_match_rate,micro_precision,micro_recall,micro_f1,macro_f1,true_positives,false_positives,false_negatives,true_topic_assignments,predicted_topic_assignments
Gemma,27,29,102,2,93.1,0.9,0.9924,7,25.93,65.45,43.37,52.17,45.39,36,19,47,83,55
Llama3,27,29,102,2,93.1,0.9,0.9924,4,14.81,61.76,50.6,55.63,42.41,42,26,41,83,68
roBERTa,27,29,102,2,93.1,0.9,0.9924,0,0.0,36.71,34.94,35.8,29.09,29,50,54,83,79
DistilroBERTa,27,29,102,2,93.1,0.9,0.9924,1,3.7,23.08,14.46,17.78,15.55,12,40,71,83,52
