Model,Type,Common Items,Missing Baseline Items,Extra Prediction Items,Exact Score %,Within 1 Score %,MAE,RMSE,Score Balanced Accuracy %,Within 1 Balanced Accuracy %,Sentiment Label Accuracy %,Sentiment Macro F1 %,Score/Label Inconsistencies,Speed (items/sec),Total Time (s),Avg Time/Item (s)
Llama3,model,195,0,0,63.59,91.79,0.4564,0.8134,52.63,86.42,80.51,62.58,15.0,0.578,337.3784,1.7301
Gemma,model,195,0,0,53.33,88.72,0.5897,0.9254,49.83,86.66,91.28,65.67,45.0,0.7782,250.5781,1.285
roBERTa,model,195,0,0,51.28,86.67,0.6308,0.9687,33.69,69.9,80.0,36.56,0.0,49.906,3.9073,0.02
DistilroBERTa,model,195,0,0,58.97,87.69,0.6205,1.1255,23.49,63.48,86.67,44.84,2.0,116.7613,1.6701,0.0086
Constant 1,baseline,195,0,0,0.0,5.64,3.4667,3.5662,0.0,25.0,5.64,3.56,,,,
Constant 2,baseline,195,0,0,5.64,11.28,2.4667,2.6047,25.0,50.0,5.64,3.56,,,,
Constant 3,baseline,195,0,0,5.64,36.41,1.5795,1.6886,25.0,75.0,5.64,3.56,,,,
Constant 4,baseline,195,0,0,25.13,94.36,0.8051,0.9581,25.0,75.0,88.72,31.34,,,,
Constant 5,baseline,195,0,0,63.59,88.72,0.5333,0.9923,25.0,50.0,88.72,31.34,,,,
